Time [s],Channel 0,Channel 1
0.126611667,0,0
0.126611750,0,1
0.126611917,0,0
0.126612083,0,1
0.126612167,0,0
0.126612250,0,1
0.126612333,0,0
0.126612417,0,1
0.126612500,0,0
0.126612583,0,1
0.126612750,0,0
0.126612833,0,1
0.126612917,0,0
0.126613083,0,1
0.126613250,0,0
0.126613417,0,1
0.126613750,0,0
0.126613833,0,1
0.126614000,0,0
0.126614083,0,1
0.126614250,0,0
0.126614417,0,1
0.126614583,0,0
0.126614750,0,1
0.126614917,0,0
0.126615000,0,1
0.126615167,0,0
0.126615250,0,1
0.126615333,0,0
0.126615417,0,1
0.126615583,0,0
0.126615750,0,1
0.126615833,0,0
0.126615917,0,1
0.126616083,0,0
0.126616167,0,1
0.126616250,0,0
0.126616417,0,1
0.126616583,0,0
0.126616750,0,1
0.126616833,0,0
0.126616917,0,1
0.126617000,0,0
0.126617083,0,1
0.126617250,0,0
0.126617417,0,1
0.126617500,0,0
0.126617583,0,1
0.126617667,0,0
0.126617750,0,1
0.126617917,0,0
0.126618083,0,1
0.126618167,0,0
0.126618250,0,1
0.126618417,0,0
0.126618500,0,1
0.126618583,0,0
0.126618750,0,1
0.126618833,0,0
0.126618917,0,1
0.126619000,0,0
0.126619083,0,1
0.126619167,0,0
0.126619250,0,1
0.126619417,0,0
0.126619500,0,1
0.126619583,0,0
0.126619750,0,1
0.126619833,0,0
0.126619917,0,1
0.126620000,0,0
0.126620083,0,1
0.126620167,0,0
0.126620250,0,1
0.126620333,0,0
0.126620417,0,1
0.126620500,0,0
0.126620583,0,1
0.126620750,0,0
0.126620917,0,1
0.126621083,0,0
0.126621250,0,1
0.126621333,0,0
0.126621417,0,1
0.126621667,0,0
0.126621750,0,1
0.126621833,0,0
0.126621917,0,1
0.126622000,0,0
0.126622083,0,1
0.126622250,0,0
0.126622333,0,1
0.126622417,0,0
0.126622500,0,1
0.126622667,0,0
0.126622833,0,1
0.126623000,0,0
0.126623083,0,1
0.126623167,0,0
0.126623333,0,1
0.126623417,0,0
0.126623500,0,1
0.126623667,0,0
0.126623833,0,1
0.126624000,0,0
0.126624167,0,1
0.126624250,0,0
0.126624333,0,1
0.126624417,0,0
0.126624500,0,1
0.126624667,0,0
0.126624750,0,1
0.126624833,0,0
0.126624917,0,1
0.126625000,0,0
0.126625083,0,1
0.126625167,0,0
0.126625250,0,1
0.126625333,0,0
0.126625500,0,1
0.126625583,0,0
0.126625667,0,1
0.126625750,0,0
0.126625833,0,1
0.126626000,0,0
0.126626167,0,1
0.126626250,0,0
0.126626333,0,1
0.126626417,0,0
0.126626500,0,1
0.126626583,0,0
0.126626667,0,1
0.126626750,0,0
0.126626833,0,1
0.126627000,0,0
0.126627083,0,1
0.126627167,0,0
0.126627333,0,1
0.126627583,0,0
0.126627667,0,1
0.126627833,0,0
0.126628000,0,1
0.126628167,0,0
0.126628333,0,1
0.126628583,0,0
0.126628667,0,1
0.126628833,0,0
0.126628917,0,1
0.126629000,0,0
0.126629083,0,1
0.126629167,0,0
0.126629250,0,1
0.126629333,0,0
0.126629417,0,1
0.126629500,0,0
0.126629583,0,1
0.126629667,0,0
0.126629750,0,1
0.126629833,0,0
0.126630000,0,1
0.126630083,1,1
0.126630167,1,0
0.126630333,1,1
0.126630500,1,0
0.126630667,1,1
0.126630917,1,0
0.126631000,1,1
0.126631167,1,0
0.126631333,1,1
0.126631583,1,0
0.126631833,1,1
0.126631917,1,0
0.126632333,1,1
0.126632417,1,0
0.126632500,1,1
0.126632583,1,0
0.126632833,1,1
0.126633000,1,0
0.126633083,1,1
0.126633167,1,0
0.126633250,1,1
0.126633333,1,0
0.126633500,1,1
0.126633667,1,0
0.126633750,1,1
0.126633833,1,0
0.126634000,1,1
0.126634333,1,0
0.126634417,1,1
0.126634500,1,0
0.126634833,1,1
0.126635167,1,0
0.126635417,1,1
0.126635583,1,0
0.126635667,1,1
0.126636000,1,0
0.126636333,1,1
0.126636667,1,0
0.126636750,1,1
0.126636833,1,0
0.126637083,1,1
0.126637167,1,0
0.126637333,1,1
0.126637750,1,0
0.126638167,1,1
0.126638333,1,0
0.126638500,1,1
0.126638750,1,0
0.126639000,1,1
0.126639167,1,0
0.126639333,1,1
0.126639583,1,0
0.126639667,1,1
0.126639833,1,0
0.126640000,1,1
0.126640250,1,0
0.126640333,1,1
0.126640583,1,0
0.126640833,1,1
0.126641000,1,0
0.126641333,1,1
0.126641500,1,0
0.126641583,1,1
0.126641667,1,0
0.126642000,1,1
0.126642333,1,0
0.126642833,1,1
0.126643000,1,0
0.126643167,1,1
0.126643333,1,0
0.126643500,1,1
0.126643833,1,0
0.126644000,1,1
0.126644167,1,0
0.126644417,1,1
0.126644833,1,0
0.126645167,1,1
0.126645500,1,0
0.126645583,1,1
0.126646083,1,0
0.126646167,1,1
0.126646500,1,0
0.126646667,1,1
0.126646833,1,0
0.126647000,1,1
0.126647167,1,0
0.126647333,1,1
0.126647500,1,0
0.126648500,1,1
0.126648667,1,0
0.126649000,1,1
0.126649333,1,0
0.126649667,1,1
0.126650000,1,0
0.126650500,1,1
0.126650750,1,0
0.126650833,1,1
0.126651000,1,0
0.126651333,1,1
0.126651667,1,0
0.126651833,1,1
0.126652000,1,0
0.126652167,1,1
0.126652333,1,0
0.126652833,1,1
0.126653167,1,0
0.126654333,1,1
0.126654583,1,0
0.126654667,1,1
0.126654833,1,0
0.126655000,1,1
0.126655167,1,0
0.126655333,1,1
0.126655667,1,0
0.126656167,1,1
0.126656333,1,0
0.126656500,1,1
0.126656833,1,0
0.126657167,1,1
0.126657833,1,0
0.126658500,1,1
0.126659083,1,0
0.126659500,1,1
0.126660333,1,0
0.126660667,1,1
0.126660833,1,0
0.126661167,1,1
0.126661333,1,0
0.126661833,1,1
0.126662000,1,0
0.126662167,1,1
0.126662333,1,0
0.126664333,1,1
0.126664500,1,0
0.126664667,1,1
0.126665167,1,0
0.126666500,1,1
0.126666667,1,0
0.126667167,1,1
0.126667500,1,0
0.126668000,1,1
0.126668167,1,0
0.126668500,1,1
0.126668667,1,0
0.126668833,1,1
0.126669000,1,0
0.126669500,1,1
0.126669667,1,0
0.126670000,1,1
0.126670167,1,0
0.126670833,1,1
0.126671000,1,0
0.126671500,1,1
0.126671667,1,0
0.126671833,1,1
0.126672000,1,0
0.126672667,1,1
0.126672833,1,0
0.126674333,1,1
0.126674500,1,0
0.126674667,1,1
0.126674833,1,0
0.126675667,1,1
0.126675833,1,0
0.126677833,1,1
0.126678000,1,0
0.126678833,1,1
0.126679167,1,0
0.126679333,1,1
0.126679500,1,0
0.126680667,1,1
0.126680833,1,0
0.126681000,1,1
0.126681167,1,0
0.126681417,1,1
0.126681500,1,0
0.126682000,1,1
0.126682333,1,0
0.126683167,1,1
0.126684000,1,0
0.126684833,1,1
0.126685083,1,0
0.126685833,1,1
0.126686333,1,0
0.126687000,1,1
0.126687500,1,0
0.126688833,1,1
0.126689000,1,0
0.126692667,1,1
0.126692833,1,0
0.126695000,1,1
0.126695167,1,0
0.126695667,1,1
0.126695833,1,0
0.126697667,1,1
0.126698000,1,0
0.126699083,1,1
0.126699250,1,0
0.126706583,1,1
0.126706750,1,0
0.126706833,1,1
0.126707000,1,0
0.126707667,1,1
0.126707833,1,0
0.126709333,1,1
0.126709500,1,0
0.126711167,1,1
0.126711667,1,0
0.126712833,1,1
0.126713083,1,0
0.126714167,1,1
0.126714333,1,0
0.126714833,1,1
0.126715000,1,0
0.126715167,1,1
0.126715833,1,0
0.126716167,1,1
0.126716500,1,0
0.126716833,1,1
0.126717083,1,0
0.126717167,1,1
0.126717333,1,0
0.126717500,1,1
0.126718000,1,0
0.126718833,1,1
0.126719000,1,0
0.126719333,1,1
0.126719583,1,0
0.126719667,1,1
0.126719833,1,0
0.126720000,1,1
0.126720250,1,0
0.126720333,1,1
0.126720500,1,0
0.126720667,1,1
0.126720833,1,0
0.126720917,1,1
0.126721167,1,0
0.126721250,1,1
0.126721333,1,0
0.126721500,1,1
0.126721750,1,0
0.126722000,1,1
0.126722167,1,0
0.126722250,1,1
0.126722333,1,0
0.126722417,1,1
0.126722500,1,0
0.126722667,1,1
0.126722917,1,0
0.126723000,1,1
0.126723083,1,0
0.126723500,1,1
0.126723667,1,0
0.126723833,1,1
0.126724083,1,0
0.126724167,1,1
0.126724333,1,0
0.126724500,1,1
0.126724667,1,0
0.126724750,1,1
0.126724833,1,0
0.126725333,1,1
0.126725500,1,0
0.126725583,1,1
0.126725667,1,0
0.126725833,1,1
0.126726167,1,0
0.126726333,1,1
0.126726667,1,0
0.126727000,1,1
0.126727333,1,0
0.126727417,1,1
0.126727583,1,0
0.126727667,1,1
0.126727833,1,0
0.126728167,1,1
0.126728417,1,0
0.126728500,1,1
0.126728667,1,0
0.126728750,1,1
0.126728833,1,0
0.126728917,1,1
0.126729000,1,0
0.126729333,1,1
0.126729583,1,0
0.126729667,1,1
0.126729750,1,0
0.126730167,1,1
0.126730333,1,0
0.126730417,1,1
0.126730500,1,0
0.126730667,1,1
0.126730833,1,0
0.126731167,1,1
0.126731333,1,0
0.126731417,1,1
0.126731500,1,0
0.126731750,1,1
0.126732000,1,0
0.126732167,1,1
0.126732333,1,0
0.126732667,1,1
0.126732833,1,0
0.126733083,1,1
0.126733417,1,0
0.126733500,1,1
0.126733583,1,0
0.126733667,1,1
0.126733833,1,0
0.126734000,1,1
0.126734167,1,0
0.126734667,1,1
0.126735167,1,0
0.126735333,1,1
0.126735500,1,0
0.126735583,1,1
0.126735833,1,0
0.126736000,1,1
0.126736167,1,0
0.126736333,1,1
0.126736833,1,0
0.126737000,1,1
0.126737167,1,0
0.126737250,1,1
0.126738000,1,0
0.126738083,1,1
0.126738750,1,0
0.126738833,1,1
0.126739000,1,0
0.126739333,1,1
0.126739667,1,0
0.126740000,1,1
0.126740167,1,0
0.126740333,1,1
0.126740500,1,0
0.126741000,1,1
0.126741667,1,0
0.126742000,1,1
0.126742500,1,0
0.126743833,1,1
0.126744000,1,0
0.126744667,1,1
0.126744833,1,0
0.126745000,1,1
0.126745167,1,0
0.126746500,1,1
0.126746667,1,0
0.126746917,1,1
0.126747000,1,0
0.126747833,1,1
0.126748000,1,0
0.126748667,1,1
0.126748833,1,0
0.126749500,1,1
0.126749667,1,0
0.126750750,1,1
0.126751500,1,0
0.126753000,1,1
0.126753333,1,0
0.126755333,1,1
0.126755500,1,0
0.126757000,1,1
0.126757167,1,0
0.126757333,1,1
0.126757500,1,0
0.126759833,1,1
0.126760083,1,0
0.126761333,1,1
0.126761500,1,0
0.126766083,1,1
0.126766167,1,0
0.131948000,1,1
0.131948667,1,0
0.131949000,1,1
0.131950000,1,0
0.131954333,1,1
0.131955333,1,0
0.131961000,1,1
0.131961167,1,0
0.131962750,1,1
0.131963417,1,0
0.131963833,1,1
0.131964333,1,0
0.131965167,1,1
0.131965667,1,0
0.131965917,1,1
0.131966250,1,0
0.131966583,1,1
0.131966750,1,0
0.131967000,1,1
0.131967417,1,0
0.131967500,1,1
0.131967667,1,0
0.131967833,1,1
0.131968417,1,0
0.131968750,1,1
0.131969083,1,0
0.131969333,1,1
0.131969583,1,0
0.131969750,1,1
0.131969833,1,0
0.131969917,1,1
0.131970250,1,0
0.131970417,1,1
0.131970500,1,0
0.131970750,1,1
0.131970833,1,0
0.131970917,1,1
0.131971250,1,0
0.131971417,1,1
0.131971500,1,0
0.131971583,1,1
0.131971750,1,0
0.131971917,1,1
0.131972250,1,0
0.131972417,1,1
0.131972583,1,0
0.131972750,1,1
0.131972917,1,0
0.131973000,1,1
0.131973083,1,0
0.131973167,1,1
0.131973333,1,0
0.131973417,1,1
0.131973667,1,0
0.131973750,1,1
0.131973917,1,0
0.131974083,1,1
0.131974250,1,0
0.131974333,1,1
0.131974417,1,0
0.131974583,1,1
0.131974833,1,0
0.131974917,1,1
0.131975000,1,0
0.131975083,1,1
0.131975167,1,0
0.131975250,1,1
0.131975333,1,0
0.131975417,1,1
0.131975583,1,0
0.131975667,1,1
0.131975750,1,0
0.131975917,1,1
0.131976083,0,0
0.131976250,0,1
0.131976500,0,0
0.131976583,0,1
0.131976667,0,0
